nombre_pais,codigo_del_pais,region,anio,Crecimiento del PIB (% anual),PIB per cápita (US$ actuales),Crecimiento del PIB per cápita (% anual),"Inflación, precios al consumidor (% anual)","Expectativa de vida, total (años)",Mortalidad infantil (cada 1.000 nacimientos),"Gasto público en educación, total (% del PIB)",Indice de Gini,Índice de recuento de la pobreza multidimensional (Banco Mundial) (% de la población)
Angola,AGO,África Subsahariana,2020,-4.042447246396634,1759.356199182642,-7.127614827167903,22.2715392470509,63.116,34.9,2.66744733689285,NA,NA
Angola,AGO,África Subsahariana,2021,2.10275251923413,2303.908126627765,-1.0943408561200982,25.754294884189,62.958,34.4,2.29719689513241,NA,NA
Angola,AGO,África Subsahariana,2022,4.216002584751365,3682.113151369797,0.9914067958733312,21.3552901320822,64.246,33.7,2.38535898416633,NA,NA
Angola,AGO,África Subsahariana,2023,1.263308140201076,2916.136632842746,-1.808703341662934,13.6441017767714,64.617,33,2.51273663315785,NA,NA
Angola,AGO,África Subsahariana,2024,4.423906644068751,2665.874447767527,1.292932707468239,28.2404948915772,64.805,32.1,NA,NA,NA
Angola,AGO,África Subsahariana,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua y Barbuda,ATG,América Latina y el Caribe,2016,4.120367543806097,16556.85518015876,3.472284250399113,-0.489437796230498,76.968,8.4,2.17149931504636,NA,NA
Antigua y Barbuda,ATG,América Latina y el Caribe,2017,2.7127265797362696,16965.728827381565,2.1461875762954037,2.43248789041362,77.03,8.3,2.28158315038897,NA,NA
Antigua y Barbuda,ATG,América Latina y el Caribe,2018,6.712004871597259,18273.427068491186,6.174489768863253,1.20715793367007,77.132,8.1,2.26922708436893,NA,NA
Antigua y Barbuda,ATG,América Latina y el Caribe,2019,3.172221937393701,18896.372183224772,2.6776131942500427,1.43135598182983,77.168,8,3.35725653382563,NA,NA
Antigua y Barbuda,ATG,América Latina y el Caribe,2020,-18.86877652081479,15369.608225040141,-19.294546284516713,0.625989707046719,77.161,7.8,3.0051830460864,NA,NA
Antigua y Barbuda,ATG,América Latina y el Caribe,2021,8.17286311186622,17348.600698718186,7.583674813722553,2.06299638545334,77.197,7.6,2.50897393198865,NA,NA
Antigua y Barbuda,ATG,América Latina y el Caribe,2022,9.107806233859577,20105.198908516442,8.530771196582293,7.53107834634288,77.483,7.4,2.50368755552383,NA,NA
Antigua y Barbuda,ATG,América Latina y el Caribe,2023,2.427363001103359,21494.547400072708,1.9048864184323548,5.06713865364212,77.598,7.2,3.10505161832136,NA,NA
Antigua y Barbuda,ATG,América Latina y el Caribe,2024,3.6563876595697735,23542.452694557796,3.152321277571275,6.19886698842115,77.766,7,NA,NA,NA
Antigua y Barbuda,ATG,América Latina y el Caribe,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,América Latina y el Caribe,2016,-2.0803278437781074,12699.962313775635,-3.024500955787616,NA,76.105,9.7,5.54548978805542,42.3,1.3
Argentina,ARG,América Latina y el Caribe,2017,2.818502977759181,14532.500930851062,1.9163960814885286,NA,76.543,9.4,5.45432996749878,41.4,1.1
Argentina,ARG,América Latina y el Caribe,2018,-2.6173964628203805,11752.799892297908,-3.4155368386781646,34.27722371310032,76.77,9.1,4.87773990631104,41.7,1.7
Argentina,ARG,América Latina y el Caribe,2019,-2.000861002857846,9955.974786804276,-2.695067235335742,53.5483043492339,76.847,8.9,4.77165985107422,43.3,1.7
Argentina,ARG,América Latina y el Caribe,2020,-9.9004848136464,8535.59938004389,-10.336109687851774,42.01509473765087,75.878,8.7,5.27689981460571,42.7,2.2
